x	EXP	NUM
0.0261	0.00677	0.0028
0.0647	0.00684	0.00556
0.1977	0.00511	0.01447
0.3511	-0.00149	0.01987
0.3664	-0.00157	0.01996
0.5681	0.00345	0.01369
0.6672	0.00748	0.00685
0.7309	0.0084	0.0013
0.8753	0.00344	-0.01587
0.8814	0.00314	-0.01672
0.8965	0.00292	-0.01885
1.0103	-0.01059	-0.03565
1.0669	-0.02034	-0.04422
1.0819	-0.02459	-0.0462
1.0954	-0.02611	-0.04815
1.2953	-0.05066	-0.07435
1.2961	-0.05078	-0.07443
1.4786	-0.05349	-0.08626
1.5817	-0.05277	-0.08745
1.6834	-0.05079	-0.08401
1.8405	-0.04592	-0.06913
1.9564	-0.03509	-0.0509
2.0136	-0.02717	-0.04033
2.0425	-0.02272	-0.03378
2.1583	-0.00337	-0.00367
2.1873	0.00159	0.00287
2.3031	0.02048	0.03429
2.317	0.02251	0.03792
2.4189	0.03453	0.0631
2.5347	0.04322	0.09321
2.5761	0.04607	0.10479
2.6935	0.05668	0.12201
2.8063	0.06832	0.12648
2.9805	0.07977	0.12593
3.0657	0.07875	0.1139
3.0935	0.07748	0.10829
3.1801	0.07114	0.09319
3.3082	0.05765	0.06438
3.4076	0.04494	0.03819
3.4649	0.03688	0.01977
3.5069	0.03057	0.00676
3.6205	0.00834	-0.02336
3.6217	0.00806	-0.02366
3.7342	-0.01866	-0.05348
3.7497	-0.02205	-0.05701
3.8462	-0.03955	-0.07654
3.8766	-0.0448	-0.08229
3.9539	-0.06017	-0.09591
4.0164	-0.08162	-0.10411
4.0621	-0.09843	-0.10848
4.1237	-0.11214	-0.11271
4.291	-0.12289	-0.11687
4.363	-0.12502	-0.11504
4.3874	-0.12535	-0.11376
4.4667	-0.12205	-0.10731
4.5497	-0.1085	-0.0974
4.5933	-0.09872	-0.09148
4.6654	-0.081	-0.081
4.7813	-0.05089	-0.05089
4.8463	-0.03617	-0.038
4.8715	-0.02932	-0.03257
4.9152	-0.01587	-0.01847
4.9405	-0.0076	-0.00998
4.9877	0.00704	0.00299
5.0166	0.01476	0.01162
5.0637	0.02733	0.03105
5.0784	0.03181	0.03584
5.1324	0.04867	0.04946
5.2013	0.06548	0.06431
5.2144	0.06846	0.06709
5.2781	0.08083	0.08113
5.317	0.08658	0.0905
5.3961	0.09732	0.10846
5.4177	0.09835	0.11205
5.4758	0.10414	0.1193
5.5049	0.10639	0.1219
5.6225	0.11051	0.12837
5.7193	0.11012	0.12953
5.7629	0.10508	0.12845
5.8477	0.09179	0.12138
5.9484	0.07615	0.10226
6.0331	0.06429	0.08272
6.0764	0.059	0.07214
6.1713	0.04555	0.04698
6.1759	0.04464	0.04586
6.2698	0.01943	0.02224
6.2895	0.01321	0.0157
6.3322	0.00013	-0.00086
6.3604	-0.00774	-0.00945
6.4172	-0.02299	-0.02345
6.4741	-0.03786	-0.03677
6.5452	-0.05513	-0.05357
6.5736	-0.06143	-0.06143
6.716	-0.09024	-0.09024
6.8343	-0.10893	-0.10658
6.8704	-0.11392	-0.11141
6.9423	-0.12048	-0.1195
7.0236	-0.12311	-0.12213
7.1309	-0.12036	-0.11935
7.2589	-0.10816	-0.11142
7.3469	-0.09549	-0.10162
7.4132	-0.08351	-0.0908
7.4913	-0.06669	-0.07502
7.5042	-0.06383	-0.07184
7.5955	-0.04381	-0.04627
7.5956	-0.04379	-0.04624
7.6503	-0.02895	-0.03203
7.7049	-0.01172	-0.01988
7.76	0.00569	-0.00877
7.833	0.02631	0.00683
7.8414	0.02826	0.00899
7.8874	0.03829	0.03043
7.9423	0.0494	0.05183
7.9546	0.05181	0.05506
8.0787	0.07496	0.08127
8.0847	0.07608	0.08255
8.2003	0.09428	0.10742
8.2143	0.09564	0.1099
8.3687	0.10052	0.12873
8.4163	0.10077	0.13098
8.53	0.10087	0.12914
8.6739	0.08919	0.11396
8.7443	0.0786	0.10057
8.8588	0.05975	0.07205
8.9868	0.03764	0.04193
9.143	0.00959	-0.00128
9.2289	-0.00652	-0.0254
9.2566	-0.01196	-0.03271
9.3425	-0.03795	-0.05368
9.375	-0.05787	-0.06083
9.3846	-0.059	-0.06283
9.4562	-0.06676	-0.07556
9.4916	-0.07635	-0.0818
9.617	-0.11232	-0.10652
9.6261	-0.11426	-0.1082
9.7523	-0.12649	-0.1181
9.7881	-0.12717	-0.11839
9.9688	-0.12718	-0.11675
9.9782	-0.12681	-0.11646
10.0596	-0.11481	-0.10868
10.0689	-0.11319	-0.10739
10.2011	-0.09147	-0.09166
10.2323	-0.08595	-0.08634
10.3051	-0.07028	-0.06993
10.3312	-0.06666	-0.06286
10.4471	-0.04955	-0.03144
10.4504	-0.04884	-0.03072
10.5145	-0.02492	-0.01869
10.5694	-0.01305	-0.00677
10.5965	-0.00678	0.00261
10.6425	0.01632	0.02323
10.6519	0.02014	0.02704
10.7338	0.04271	0.05209
10.7797	0.05349	0.06333
10.9099	0.07722	0.09114
10.9537	0.08284	0.09948
11.1411	0.0977	0.12566
11.1545	0.09816	0.12663
11.3051	0.10125	0.13043
11.3242	0.106	0.13012
11.4278	0.10263	0.12041
11.4699	0.09684	0.11182
11.5559	0.08321	0.09422
11.7126	0.05578	0.06541
11.8267	0.03471	0.03278
11.871	0.02633	0.00885
11.9965	0.0019	-0.0184
12.0257	-0.00399	-0.02589
12.1101	-0.02261	-0.04982
12.1393	-0.03411	-0.05667
12.2525	-0.06077	-0.07863
12.2673	-0.06423	-0.08132
12.391	-0.0894	-0.10251
12.4098	-0.09173	-0.10544
12.553	-0.10402	-0.11984
12.6673	-0.11007	-0.11879
12.7676	-0.11211	-0.11269
12.8516	-0.10913	-0.10575
12.9877	-0.09346	-0.09198
13.0122	-0.09101	-0.08913
13.1695	-0.07432	-0.06377
13.1782	-0.07285	-0.06111
13.2292	-0.05081	-0.03808
13.2333	-0.0481	-0.03666
13.3154	-0.02584	-0.01509
13.345	-0.01961	-0.00797
13.4602	0.00512	0.02326
13.4609	0.00527	0.02345
13.5622	0.02874	0.05334
13.5904	0.03523	0.06026
13.6805	0.05424	0.08056
13.7348	0.06403	0.09332
13.7937	0.07346	0.10593
13.9222	0.09152	0.1256
14.0097	0.10144	0.1308
14.0789	0.10529	0.13005
14.2504	0.09868	0.11601
14.2673	0.09748	0.11377
14.3954	0.08688	0.08889
14.4395	0.08218	0.08073
14.5378	0.06552	0.06008
14.5652	0.05991	0.04893
14.6272	0.04747	0.02361
14.7446	0.02196	-0.00318
14.8366	-0.0067	-0.0229
14.8423	-0.0081	-0.02424
14.9638	-0.03246	-0.06039
14.979	-0.03551	-0.06453
15.0786	-0.05778	-0.08557
15.1061	-0.06285	-0.09051
15.2354	-0.08528	-0.10909
15.3204	-0.1039	-0.1154
15.3273	-0.10591	-0.11571
15.3902	-0.11416	-0.11754
15.6214	-0.11802	-0.11149
15.6217	-0.11802	-0.11148
15.8091	-0.10325	-0.08399
15.8517	-0.09577	-0.07091
15.8891	-0.08786	-0.05974
16.0438	-0.04847	-0.02757
16.0688	-0.0421	-0.02303
16.1561	-0.02248	-0.00544
16.2133	-0.01199	0.01171
16.2577	-0.0044	0.02598
16.271	-0.00151	0.03007
16.3735	0.02221	0.0574
16.4012	0.0286	0.06384
16.5037	0.05141	0.08751
16.5313	0.0574	0.09442
16.6625	0.08026	0.11631
16.7044	0.08489	0.11984
16.9354	0.10112	0.1294
16.9775	0.10321	0.12896
17.034	0.1051	0.12169
17.0965	0.10271	0.10967
17.1327	0.10071	0.10271
17.2948	0.08704	0.06841
17.3031	0.08585	0.06641
17.3912	0.06668	0.04035
17.4347	0.05344	0.0281
17.5048	0.03318	0.00892
17.5331	0.02577	-0.00156
17.5483	0.02201	-0.00596
17.6467	2e-05	-0.03298
17.6479	-0.00025	-0.03331
17.7604	-0.02873	-0.06179
17.7616	-0.02906	-0.06203
17.8326	-0.0487	-0.07501
17.9172	-0.06676	-0.0906
17.975	-0.07751	-0.10348
18.0465	-0.08882	-0.1159
18.1605	-0.10239	-0.12359
18.2629	-0.11134	-0.12333
18.4325	-0.11812	-0.11249
18.4894	-0.11734	-0.10684
18.5624	-0.11397	-0.09455
18.6912	-0.1011	-0.07147
18.7212	-0.09635	-0.06575
18.8214	-0.0723	-0.04272
18.8514	-0.0638	-0.03433
18.8938	-0.05266	-0.02191
18.9672	-0.03355	-0.00422
19.0096	-0.02255	0.00284
19.0992	0.00068	0.01687
19.1254	0.00756	0.02922
19.1361	0.01037	0.03666
19.2367	0.03654	0.07048
19.2412	0.03767	0.07177
19.3714	0.06778	0.10296
19.4015	0.07445	0.10837
19.5158	0.09527	0.12349
19.6318	0.10614	0.13062
19.6808	0.10923	0.13074
19.8346	0.115	0.11997
19.8348	0.11499	0.11995
19.9244	0.10966	0.09932
19.9608	0.10592	0.08833
