x	EXP	NUM
13.4122	1315.02	1082.44
13.5139	1234.36	1012.78
13.528	1205.14	1004.48
13.5995	1170.05	965.87
13.6122	1156.54	959.66
13.628	1140.82	952.3
13.7269	1082.63	936.25
13.7423	1076.5	937.23
13.8142	1082.33	942.98
13.9136	1082.66	953.73
13.9649	1085.21	963.3
14.1156	1137.41	1076.39
14.1161	1137.76	1076.94
14.2319	1251.69	1221.12
14.4053	1397.74	1463.38
14.4204	1410.66	1485.4
14.5077	1496.67	1625.63
14.5284	1523.35	1661.34
14.5938	1625.61	1769.77
14.595	1626.89	1771.71
14.6807	1713.24	1909.62
14.6822	1716.15	1911.94
14.703	1809.66	1941.45
14.7681	1876.85	2030.31
14.7839	1891.98	2052.17
14.8854	1998.05	2186.56
14.8984	2011.23	2200.58
15.03	2130.2	2315.09
15.043	2139.76	2322.89
15.1151	2183.57	2341.49
15.1236	2193.11	2341.36
15.1515	2242	2340.75
15.2019	2256.6	2340.95
15.2097	2253.72	2341.33
15.3029	2218.69	2320.85
15.3522	2209.8	2281.88
15.4454	2221.58	2186.4
15.4888	2227.29	2134.25
15.5241	2154.23	2089.47
15.5591	2093.57	2046.1
15.5878	2043.17	2012.81
15.6374	1955.5	1956.13
15.6729	1937.51	1911.65
15.758	1899.32	1777.21
15.8232	1856.09	1685.36
15.8574	1809.1	1636.92
15.8867	1709.97	1591.08
15.9293	1657.36	1518.83
15.9424	1638.68	1496.64
16.0073	1531.69	1390.24
16.0274	1521.46	1356.36
16.0287	1519.99	1354.11
16.0855	1444	1256.53
16.1124	1427.9	1216.07
16.1713	1391.38	1141.01
16.1992	1289.1	1107.9
16.2262	1262.71	1075.78
16.2992	1227.7	996.37
16.3402	1206.02	970.55
16.4207	1157.54	948.77
16.4978	1117.65	935.44
16.5136	1110.76	931.36
16.6269	1070.15	912.02
16.664	1063.96	918.47
16.7862	1087.3	971.45
16.8575	1105.45	1023
16.9086	1125.25	1069.38
17.0817	1236.24	1268.3
17.1038	1256.97	1297.6
17.1615	1332.65	1383.52
17.191	1367.75	1437.83
17.2339	1414.44	1511.55
17.2783	1462.47	1583.91
17.2918	1472.87	1605.57
17.3656	1523.33	1724.15
17.4145	1560.5	1803.76
17.4221	1607.25	1815.92
17.4529	1669.3	1864.38
17.4585	1677.37	1873.09
17.5166	1750.4	1958.72
17.54	1777.25	1992.93
17.5963	1843.88	2074.11
17.6416	1902.82	2133.16
17.676	1946.13	2173.26
17.7266	1981.18	2226.39
17.7719	2006.08	2267.53
17.8203	2030.83	2299.38
17.8729	2055.4	2320.1
17.8852	2068.8	2324.41
17.9219	2165.22	2336.68
17.9799	2235.33	2351.86
18.0024	2236.23	2355.13
18.0802	2214.85	2342.75
18.1098	2207.9	2325.88
18.195	2203.12	2251.59
18.2025	2204.18	2244.03
18.2594	2212.6	2179.73
18.2883	2206.02	2143.32
18.3731	2131.75	2039.44
18.381	2121.25	2030.34
18.4092	2065.72	1998.17
18.4734	2010.19	1922.91
18.4869	2000.38	1904.99
18.5719	1938.07	1764.7
18.5805	1931.26	1750.08
18.6159	1881.57	1691.11
18.657	1825.29	1624.42
18.7153	1741.28	1527.95
18.742	1688.64	1484.13
18.7719	1636.07	1435.69
18.827	1576.84	1343.85
18.9001	1507.46	1216.09
18.912	1496	1197.72
19.0258	1376	1063.27
19.0283	1373.01	1060.83
19.0993	1285.33	997.18
19.1971	1219.32	940.49
19.1993	1218.09	939.74
19.2994	1168.39	925.89
19.3765	1135.59	928.75
19.4068	1124.52	928.72
19.4856	1112.81	936.78
19.513	1119.05	946.25
19.5575	1127.4	967.07
19.6653	1139.06	1034.31
19.7006	1155.01	1063.07
19.7731	1194.79	1159.48
19.8455	1235.43	1219.12
19.8888	1252.68	1258.8
19.911	1256.87	1346.45
19.9175	1258.79	1371.41
19.9476	1279.17	1425.34
19.9681	1299.68	1445.88
19.9909	1327.17	1460.39
20.0116	1355.19	1473.3
