x	EXP	NUM
0.0107	-0.00151	-0.00159
0.0251	-0.00159	-0.00169
0.3552	-0.00285	-0.00287
0.3695	-0.00287	-0.00282
0.6997	-0.00057	-0.00022
0.714	-0.00022	-0.00011
0.9582	0.00899	0.0013
1.0263	0.01012	0.00174
1.2739	0.0105	0.00377
1.3027	0.01033	0.00388
1.6041	0.00642	0.00488
1.6327	0.0059	0.00511
1.805	0.00259	0.00512
1.934	-0.00012	-2e-05
2.1061	-0.00399	-0.00797
2.2064	-0.00631	-0.01321
2.2783	-0.00796	-0.01644
2.5219	-0.01435	-0.02762
2.5939	-0.01712	-0.03023
2.823	-0.02751	-0.0394
2.9237	-0.03021	-0.0381
3.0054	-0.0306	-0.04025
3.1241	-0.02929	-0.05381
3.2538	-0.02756	-0.06801
3.267	-0.02748	-0.06833
3.368	-0.02741	-0.05772
3.5265	-0.02443	-0.02885
3.541	-0.0236	-0.02474
3.6994	-0.00584	-0.00128
3.7569	0.00266	0.00133
3.9109	0.01685	0.00338
4.001	0.02154	0.00661
4.1308	0.02856	0.0368
4.1594	0.03024	0.04619
4.1742	0.03114	0.05123
4.261	0.03664	0.08273
4.4468	0.04863	0.10601
4.4625	0.0495	0.10636
4.5903	0.04733	0.10381
4.7492	0.04019	0.09195
4.9058	0.03424	0.06793
4.9208	0.03376	0.06441
5.0206	0.03084	0.03425
5.0922	0.02638	0.00767
5.106	0.02507	0.00277
5.2058	0.01303	-0.02871
5.2925	0.00016	-0.0528
5.3056	-0.00195	-0.05625
5.4198	-0.02153	-0.08641
5.4641	-0.02869	-0.09806
5.577	-0.04416	-0.11395
5.6645	-0.05491	-0.11719
5.8641	-0.07819	-0.11261
5.8792	-0.07982	-0.11157
6.0656	-0.09174	-0.08636
6.0942	-0.09161	-0.08128
6.2242	-0.0858	-0.05749
6.353	-0.07322	-0.02885
6.354	-0.07308	-0.02861
6.4695	-0.05029	0.00157
6.4972	-0.04303	0.01046
6.5707	-0.0255	0.03306
6.627	-0.01285	0.04573
6.7292	0.01069	0.06194
6.7569	0.01734	0.06533
6.8867	0.04621	0.07967
6.9451	0.05621	0.08688
7.0453	0.07508	0.10122
7.1315	0.09976	0.10941
7.1609	0.10319	0.11052
7.3308	0.113	0.1045
7.4332	0.10967	0.0948
7.4622	0.1066	0.09139
7.6049	0.09046	0.06857
7.6619	0.08358	0.05021
7.6769	0.0817	0.04536
7.7616	0.07037	0.01873
7.8614	0.05318	-0.01143
7.8629	0.05285	-0.01169
7.9436	0.02545	-0.02254
8.0331	0.00052	-0.03372
8.0425	-0.00181	-0.03516
8.1503	-0.0299	-0.05934
8.1617	-0.03304	-0.06257
8.2614	-0.05976	-0.09405
8.2622	-0.05994	-0.09433
8.3612	-0.08123	-0.12553
8.405	-0.0901	-0.13145
8.4735	-0.10359	-0.13318
8.5622	-0.11777	-0.12026
8.6195	-0.12419	-0.10614
8.6921	-0.12933	-0.08877
8.8506	-0.13178	-0.0612
8.8777	-0.13073	-0.05787
8.9984	-0.11165	-0.04376
9.0521	-0.10135	-0.03626
9.1083	-0.09004	-0.02606
9.1819	-0.06805	-0.00739
9.2095	-0.05855	0.00323
9.2253	-0.05316	0.00705
9.3077	-0.02898	0.02311
9.3695	-0.01674	0.03592
9.3985	-0.00914	0.04282
9.5079	0.03136	0.06269
9.528	0.03794	0.06479
9.608	0.05617	0.07097
9.7351	0.08097	0.07795
9.8155	0.10145	0.08187
9.8591	0.10943	0.08431
9.9342	0.11873	0.0909
10.0598	0.12564	0.09764
10.1035	0.12519	0.09481
10.1692	0.12099	0.08431
10.217	0.11554	0.06879
10.3026	0.10183	0.04387
10.3039	0.10159	0.04353
10.3755	0.09241	0.02506
10.4167	0.08756	0.0137
10.5309	0.07218	-0.01384
10.5758	0.06488	-0.01976
10.6899	0.03472	-0.0323
10.7457	0.01858	-0.03874
10.804	0.00324	-0.04707
10.9029	-0.02264	-0.06759
10.9182	-0.02692	-0.07146
11.0323	-0.0584	-0.09756
11.0743	-0.06729	-0.10431
11.1751	-0.08725	-0.11485
11.318	-0.11546	-0.11741
11.3753	-0.12265	-0.1112
11.4766	-0.1295	-0.08722
11.6351	-0.12979	-0.05966
11.6478	-0.12919	-0.0582
11.8206	-0.10556	-0.03737
11.8366	-0.1025	-0.03472
11.9648	-0.07669	-0.00744
12.0386	-0.05581	0.01253
12.074	-0.04446	0.0238
12.1541	-0.02094	0.04271
