x	EXP	NUM1
12.9997	-0.8258	-1.7733
13.0266	-1.7316	-2.1304
13.0627	-2.0781	-2.6471
13.1481	-2.6471	-4.0034
13.1624	-2.8247	-4.2157
13.2764	-4.1503	-5.7843
13.3761	-5.1073	-7.2876
13.4046	-5.3922	-7.6371
13.5022	-5.9313	-8.649
13.5185	-6.012	-8.7908
13.6241	-6.5139	-9.362
13.6325	-6.5686	-9.3921
13.7749	-6.1789	-9.5098
13.7895	-6.1372	-9.4418
13.9031	-5.7843	-8.324
13.9174	-5.5638	-8.1373
14.0138	-4.3667	-6.6964
14.0171	-4.3329	-6.634
14.0883	-3.7007	-5.0654
14.1393	-3.255	-4.0257
14.1595	-3.0456	-3.4967
14.247	-1.9375	-0.939
14.302	-1.0999	0.6209
14.3188	-0.8258	1.0433
14.3732	0.0689	2.1895
14.4017	0.5556	3.2751
14.416	0.7463	3.8235
14.4729	1.5273	5.3922
14.5157	2.1242	6.634
14.5299	2.3028	7.0261
14.6011	3.2266	8.5948
14.6296	3.6275	9.1553
14.6866	4.1385	10.2288
14.7321	4.5697	10.8437
14.7943	5.2054	11.2327
14.8148	5.4575	11.2775
14.886	5.6106	11.0131
15.0427	6.1378	9.5752
15.0855	6.3725	9.0037
15.1425	6.0069	8.0065
15.2279	5.5449	6.4379
15.3419	4.9851	4.6078
15.4274	4.6078	3.2495
15.4416	4.4073	3.0392
15.5556	3.2343	1.4706
15.5698	3.1046	1.2679
15.6553	1.9607	-0.0327
15.6838	1.6013	-0.4802
15.755	0.5596	-1.6013
15.8405	-0.6863	-2.9463
15.8547	-0.8705	-3.1699
15.9544	-2.1895	-4.7386
16.0541	-3.6275	-6.3072
16.1681	-4.9488	-7.8758
16.1823	-5.1307	-8.0267
16.2584	-5.7543	-8.6358
16.3533	-6.5686	-9.1579
16.3675	-6.656	-9.183
16.4994	-6.9607	-9.105
16.5355	-6.8689	-9.0248
16.6097	-7.0229	-8.4641
16.6524	-6.4379	-7.969
16.7379	-5.3114	-6.9608
16.8376	-4.0134	-5.3922
16.9658	-2.3552	-2.8431
17.037	-1.4376	-1.2092
17.1083	-0.5226	0.2941
17.1652	0.207	1.9281
17.208	0.7516	2.8543
17.2365	1.1117	3.4314
17.3077	2.3203	5.0654
17.3789	3.2386	6.634
17.4217	3.8235	7.4914
17.4644	4.1979	8.2026
17.5783	5.3098	9.6405
17.5926	5.4575	9.7864
17.6491	6.0202	10.0655
17.7509	6.4927	10.1174
17.8205	6.4327	9.7059
17.8775	6.2418	9.1778
17.963	5.81	8.268
18.011	5.5212	7.3161
18.1014	4.9186	6.3824
18.158	4.5118	5.2929
18.2051	4.1578	4.5425
18.3048	3.3683	2.9739
18.3903	2.6432	1.4052
18.4046	2.5163	1.1393
18.4758	1.818	-0.1634
18.5185	1.0131	-0.9464
18.5613	0.3522	-1.732
18.6325	-0.5556	-3.0387
18.6467	-0.7354	-3.3007
18.7322	-1.8607	-4.8693
18.7464	-2.0588	-5.1267
18.8177	-3.0631	-6.4379
18.8604	-3.6275	-7.2694
18.9031	-4.1519	-8.0065
19.0171	-5.4575	-9.5752
19.0793	-6.1065	-10.2698
19.2023	-6.7647	-10.8824
19.3903	-6.6206	-10.4514
19.4444	-6.4354	-9.902
19.4729	-6.3072	-9.5217
19.5584	-5.7145	-8.3987
19.6296	-4.8693	-7.1666
19.6439	-4.6697	-6.8301
19.6786	-4.1692	-5.7825
19.739	-3.2962	-4.6705
19.7577	-3.0355	-4.3301
19.8312	-1.9851	-2.6959
19.8467	-1.7316	-2.3036
19.8991	-0.5696	-0.9322
19.9006	-0.5375	-0.8936
19.9161	-0.2178	-0.3097
19.9288	0.0179	0.5556
19.9634	0.6154	1.5942
19.9858	0.9966	2.1895
