x	EXP	NUM
12.4291	42.03	54.17
12.4301	41.09	53.55
12.4875	13.98	12.83
12.5259	8.41	-4.47
12.5305	7.8	-6.72
12.5884	-5.81	-39.5
12.6022	-17.93	-47.44
12.6112	-25.2	-52.3
12.6308	-36.77	-60.47
12.6624	-60.11	-74.93
12.6738	-96.95	-79.7
12.7312	-123.72	-99.57
12.7478	-129.92	-104.11
12.7876	-149.96	-113.2
12.8615	-167.42	-124.36
12.9319	-157.13	-128.9
12.964	-152.56	-129.16
13.0379	-166.79	-126.59
13.1346	-180.37	-118.35
13.146	-179.29	-117.03
13.1972	-160.98	-107.7
13.2043	-158.59	-106.12
13.2883	-132.55	-90.43
13.3047	-122.82	-86.59
13.311	-106.7	-84.97
13.3395	-91.84	-76.95
13.4337	-91.64	-49.14
13.4646	-89.91	-41.33
13.4931	-67.93	-34.58
13.55	-49.84	-21.56
13.5914	-37.75	-11.69
13.6918	-35.44	6.21
13.6979	-34.99	6.66
13.8208	-19.86	13.72
13.8458	-20.78	15.09
13.9084	-2.04	18.65
13.9596	-3.98	21.85
13.9928	-8.31	24.1
14.0215	-6.84	26.2
14.1303	12.81	35.27
14.1815	21.85	40.05
14.2652	23.76	48.51
14.2839	25.07	50.55
14.3226	34.38	56.65
14.3408	41.23	59.29
14.4376	67.07	72.6
14.5376	90.06	85.95
14.54	90.33	86.26
14.6026	90.33	94.39
14.6765	109.71	103.35
14.681	111.35	103.85
14.724	131.54	108.5
14.7334	147.19	109.47
14.7562	165.94	111.76
14.7957	170.62	115.59
14.8017	170.57	116.16
14.9041	163.99	124.73
14.9496	130.37	126.61
14.9534	129.97	126.63
15.035	124.55	116.77
15.0407	124.75	115.5
15.0805	134.89	106.97
15.1089	150.4	100.3
15.1254	153.17	95.67
15.1601	151.04	82.09
15.2115	131.27	56.58
15.2227	119.36	50.94
15.2401	58.21	42.25
15.2455	78	39.59
15.2512	87.69	36.76
15.2569	41.15	33.94
15.2853	28.87	19.84
15.2975	17.48	13.82
15.3593	-9.27	-16.72
15.3692	-10.62	-21.61
15.4276	-13.15	-48.04
