x	EXP	NUM
0.0303	0.00519	-0.00401
0.0592	0.00517	-0.00394
0.389	0.00608	-0.00269
0.4179	0.0065	-0.00251
0.5741	0.01159	-0.00133
0.7334	0.00798	-5e-05
0.7479	0.00782	6e-05
1.0634	0.0058	0.00259
1.4078	0.00417	0.00654
1.4508	0.00392	0.00637
1.5225	0.00337	0.00261
1.7662	-0.00525	-0.00591
1.8522	-0.01012	-0.00919
2.1244	-0.02498	-0.02623
2.2247	-0.03016	-0.03636
2.3534	-0.03516	-0.04852
2.3987	-0.03461	-0.0518
2.5689	-0.03277	-0.06041
2.64	-0.0341	-0.06294
2.7601	-0.03625	-0.06622
2.8846	-0.03013	-0.06729
2.9699	-0.02472	-0.06555
3.1433	-0.01044	-0.05143
3.2143	-0.00395	-0.04193
3.3871	0.01238	-0.01437
3.5169	0.0249	0.01581
3.618	0.03473	0.04599
3.7334	0.04597	0.07485
3.7471	0.0473	0.07817
3.8632	0.0583	0.10503
3.9011	0.06049	0.11207
3.9657	0.06248	0.12083
4.0344	0.06306	0.12575
4.0742	0.06256	0.12579
4.2096	0.0586	0.11588
4.2263	0.05803	0.11339
4.2791	0.05627	0.0998
4.3498	0.05258	0.08123
4.3932	0.0496	0.06963
4.493	0.04117	0.03946
4.5645	0.03291	0.01782
4.5927	0.02864	0.00929
4.6924	0.0075	-0.02088
4.7074	0.00405	-0.02507
4.7788	-0.00907	-0.04399
4.8065	-0.01415	-0.05104
4.9207	-0.03504	-0.0799
4.9359	-0.03792	-0.08385
5.0206	-0.05134	-0.09958
5.1075	-0.06546	-0.1099
5.2784	-0.09063	-0.12056
5.2934	-0.09301	-0.12085
5.4609	-0.10143	-0.11838
5.5942	-0.09967	-0.11005
5.6689	-0.09563	-0.10212
5.7594	-0.08952	-0.08819
5.8409	-0.0824	-0.07501
5.8411	-0.08238	-0.07497
5.8954	-0.06835	-0.05758
5.9048	-0.0657	-0.05513
6.0226	-0.03777	-0.03002
6.0409	-0.03382	-0.02607
6.1317	-0.01132	-0.00295
6.1563	-0.00363	0.00411
6.2409	0.0234	0.02919
6.2498	0.01596	0.03192
6.2574	0.01705	0.03429
6.3586	0.04099	0.06578
6.3869	0.04872	0.07384
6.474	0.07358	0.09596
6.5023	0.08022	0.10249
6.6465	0.10908	0.12349
6.6468	0.10917	0.12351
6.7616	0.12483	0.12512
6.8848	0.12144	0.12177
7.0626	0.11172	0.11547
7.0925	0.10935	0.11269
7.1464	0.09864	0.10314
7.1913	0.08475	0.0879
7.2053	0.08156	0.08113
7.2338	0.07563	0.06975
7.2902	0.06228	0.05247
7.305	0.05007	0.04783
7.3335	0.04557	0.03827
7.3884	0.03622	0.0127
7.4159	0.02923	0.00263
7.4615	0.01057	-0.01027
7.5233	-0.01704	-0.02657
7.5756	-0.0318	-0.04044
7.6326	-0.04341	-0.05618
7.6672	-0.04927	-0.06452
7.7572	-0.0658	-0.08546
7.761	-0.06691	-0.08634
7.847	-0.09224	-0.10448
7.9182	-0.10276	-0.1152
8.0044	-0.10995	-0.12438
8.1904	-0.11996	-0.13355
8.1988	-0.12032	-0.13359
8.3198	-0.11912	-0.13027
8.4633	-0.10698	-0.1178
8.5065	-0.10295	-0.11195
8.5881	-0.09138	-0.09689
