/SiMCosta RJ-3 buoy 
/L1 data
/missing = NULL
/latitude = -22.983083
/longitude = -43.174472
/Sensor Mount = Buoy
/Ocean Sensors Orientation = Downward
/Ocean Sensors Average Measuring Depth = 0.5m
/Acknowledging or Crediting SiMCosta as Information Source : (Product or data name) courtesy of the Brazilian Coastal Monitoring System - SiMCosta  (www.simcosta.furg.br)
/Disclaimer: All products published on this website are not intended to be used for navigational or operational purposes.
/*Magnetic Declination Reference: Chulliat, A., S. Macmillan, P. Alken, C. Beggan, M. Nair, B. Hamilton, A. Woods, V. Ridley, S. Maus and A. Thomson, 2014. The US/UK World Magnetic Model for 2015-2020, NOAA National Geophysical Data Center, Boulder, CO, doi: 10.7289/V5TH8JNW 
/YEAR MONTH DAY HOUR MINUTE SECOND = Date/Time Data Acquisition (UTC)
/Hsig: Significant Wave Height (m)
/TP: Wave Peak Period (s)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Hsig,TP
2016,7,20,13,25,0,1.87,12.50
2016,7,20,14,25,0,1.65,12.50
2016,7,20,15,25,0,1.64,12.50
2016,7,20,17,25,0,1.82,11.80
2016,7,20,18,25,0,2.03,11.80
2016,7,20,19,25,0,1.84,12.50
2016,7,20,20,25,0,1.59,11.80
2016,7,20,21,25,0,1.70,11.10
2016,7,20,22,25,0,1.79,11.80
2016,7,20,23,25,0,1.80,11.10
2016,7,21,0,25,0,1.70,11.80
2016,7,21,1,25,0,1.64,11.80
2016,7,21,2,25,0,1.51,11.80
2016,7,21,3,25,0,1.61,11.80
2016,7,21,4,25,0,1.54,11.80
2016,7,21,5,25,0,1.70,11.10
2016,7,21,6,25,0,1.68,11.80
2016,7,21,7,25,0,1.63,12.50
2016,7,21,8,25,0,1.48,11.10
2016,7,21,9,25,0,1.92,12.50
2016,7,21,10,25,0,1.59,11.80
2016,7,21,11,25,0,1.44,13.30
2016,7,21,12,25,0,1.48,13.30
2016,7,21,13,25,0,1.78,12.50
2016,7,21,14,25,0,1.46,11.10
2016,7,21,15,25,0,1.46,11.80
2016,7,21,16,25,0,1.44,13.30
2016,7,21,17,25,0,1.62,13.30
2016,7,21,18,25,0,1.33,11.80
2016,7,21,19,25,0,1.46,12.50
2016,7,21,20,25,0,1.52,14.30
2016,7,21,21,25,0,1.42,13.30
2016,7,21,22,25,0,1.45,14.30
2016,7,21,23,25,0,1.37,13.30
2016,7,22,0,25,0,1.45,13.30
2016,7,22,1,25,0,1.33,13.30
2016,7,22,2,25,0,1.50,12.50
2016,7,22,3,25,0,1.51,11.80
2016,7,22,4,25,0,1.41,11.10
2016,7,22,5,25,0,1.35,12.50
2016,7,22,6,25,0,1.50,13.30
2016,7,22,7,25,0,1.22,11.10
2016,7,22,8,25,0,1.29,12.50
2016,7,22,9,25,0,1.45,11.80
2016,7,22,10,25,0,1.32,12.50
2016,7,22,11,25,0,1.13,12.50
2016,7,22,12,25,0,1.13,12.50
2016,7,22,13,25,0,1.26,11.80
2016,7,22,14,25,0,1.20,10.50
2016,7,22,15,25,0,1.11,11.10
2016,7,22,16,25,0,1.21,12.50
2016,7,22,17,25,0,1.16,11.10
2016,7,22,18,25,0,1.06,11.80
2016,7,22,19,25,0,1.20,10.00
2016,7,22,20,25,0,1.18,12.50
2016,7,22,21,25,0,1.29,12.50
2016,7,22,22,25,0,1.25,12.50
2016,7,22,23,25,0,1.14,11.10
2016,7,23,0,25,0,1.29,9.50
2016,7,23,1,25,0,1.12,11.80
2016,7,23,2,25,0,1.22,9.50
2016,7,23,3,25,0,1.24,10.50
2016,7,23,4,25,0,1.23,11.80
2016,7,23,5,25,0,1.11,11.10
2016,7,23,6,25,0,1.17,11.80
2016,7,23,7,25,0,1.17,10.50
2016,7,23,8,25,0,1.24,10.50
2016,7,23,9,25,0,1.03,11.10
2016,7,23,10,25,0,1.18,11.10
2016,7,23,11,25,0,0.94,11.10
2016,7,23,12,25,0,1.07,10.50
2016,7,23,13,25,0,0.94,11.10
2016,7,23,14,25,0,1.06,11.10
2016,7,23,15,25,0,0.96,10.50
2016,7,23,16,25,0,0.99,10.00
2016,7,23,17,25,0,0.92,9.50
2016,7,23,18,25,0,1.02,10.50
2016,7,23,19,25,0,1.16,11.10
2016,7,23,20,25,0,1.18,11.10
2016,7,23,21,25,0,1.29,10.50
2016,7,23,22,25,0,1.15,10.00
2016,7,23,23,25,0,1.08,9.50
2016,7,24,0,25,0,0.93,10.50
2016,7,24,1,25,0,0.80,8.70
2016,7,24,2,25,0,0.88,9.50
2016,7,24,3,25,0,0.84,10.00
2016,7,24,4,25,0,0.84,10.50
2016,7,24,5,25,0,0.86,10.50
2016,7,24,6,25,0,0.79,9.50
2016,7,24,7,25,0,0.75,9.50
2016,7,24,8,25,0,0.71,9.10
2016,7,24,9,25,0,0.71,10.00
2016,7,24,10,25,0,0.71,10.50
2016,7,24,11,25,0,0.70,10.00
2016,7,24,12,25,0,0.65,10.50
2016,7,24,14,25,0,0.60,10.00
2016,7,24,15,25,0,0.64,10.50
2016,7,24,16,25,0,0.67,10.00
2016,7,24,17,25,0,0.68,9.50
2016,7,24,18,25,0,0.69,9.50
2016,7,24,19,25,0,0.65,10.50
2016,7,24,20,25,0,0.67,10.00
2016,7,24,21,25,0,0.59,10.00
2016,7,24,22,25,0,0.60,10.00
2016,7,24,23,25,0,0.61,9.50
2016,7,25,0,25,0,0.65,10.00
2016,7,25,1,25,0,0.63,9.50
2016,7,25,2,25,0,0.67,9.50
2016,7,25,3,25,0,0.64,9.50
2016,7,25,4,25,0,0.70,6.30
2016,7,25,5,25,0,0.67,6.50
2016,7,25,6,25,0,0.65,8.70
2016,7,25,7,25,0,0.60,9.10
2016,7,25,8,25,0,0.56,9.10
2016,7,25,9,25,0,0.48,9.10
2016,7,25,10,25,0,0.48,8.70
2016,7,25,11,25,0,0.43,9.50
2016,7,25,12,25,0,0.41,9.50
2016,7,25,13,25,0,0.43,9.50
2016,7,25,14,25,0,0.40,9.10
2016,7,25,15,25,0,0.37,9.10
2016,7,25,16,25,0,0.42,9.10
2016,7,25,17,25,0,0.46,10.00
2016,7,25,18,25,0,0.42,9.10
2016,7,25,19,25,0,0.37,8.30
2016,7,25,20,25,0,0.36,8.70
2016,7,25,21,25,0,0.38,14.30
2016,7,25,22,25,0,0.36,8.30
2016,7,25,23,25,0,0.35,9.10
2016,7,26,0,25,0,0.34,8.00
2016,7,26,1,25,0,0.37,8.00
2016,7,26,2,25,0,0.36,7.70
2016,7,26,3,25,0,0.35,8.70
2016,7,26,4,25,0,0.34,10.00
2016,7,26,5,25,0,0.35,13.30
2016,7,26,6,25,0,0.33,8.00
2016,7,26,7,25,0,0.35,13.30
2016,7,26,12,25,0,0.40,15.40
2016,7,26,13,25,0,0.33,10.00
2016,7,26,14,25,0,0.38,15.40
2016,7,26,15,25,0,0.40,14.30
2016,7,26,16,25,0,0.35,13.30
2016,7,26,17,25,0,0.35,13.30
2016,7,26,18,25,0,0.36,15.40
2016,7,26,19,25,0,0.40,15.40
2016,7,26,20,25,0,0.49,15.40
2016,7,26,21,25,0,0.49,14.30
2016,7,26,22,25,0,0.58,16.70
2016,7,26,23,25,0,0.58,16.70
2016,7,27,0,25,0,0.57,15.40
2016,7,27,1,25,0,0.62,16.70
2016,7,27,2,25,0,0.67,15.40
2016,7,27,3,25,0,0.61,15.40
2016,7,27,4,25,0,0.63,15.40
2016,7,27,5,25,0,0.57,15.40
2016,7,27,7,25,0,0.57,15.40
2016,7,27,8,25,0,0.63,14.30
2016,7,27,9,25,0,0.52,14.30
2016,7,27,10,25,0,0.52,14.30
2016,7,27,11,25,0,0.52,14.30
2016,7,27,12,25,0,0.58,14.30
2016,7,27,13,25,0,0.51,13.30
2016,7,27,14,25,0,0.58,14.30
2016,7,27,15,25,0,0.49,15.40
2016,7,27,16,25,0,0.55,14.30
2016,7,27,17,25,0,0.56,15.40
2016,7,27,18,25,0,0.69,14.30
2016,7,27,19,25,0,0.73,14.30
2016,7,27,20,25,0,0.77,14.30
2016,7,27,21,25,0,0.64,12.50
2016,7,27,22,25,0,0.67,14.30
2016,7,27,23,25,0,0.72,15.40
2016,7,28,0,25,0,0.92,15.40
2016,7,28,1,25,0,1.16,6.70
2016,7,28,2,25,0,1.16,6.90
2016,7,28,3,25,0,1.18,6.90
